case_id	split	genre	rate	speaker_group	recording_quality	phenomena	reference_status	source_license	redistribution
m20-001	dev	news	normal	a	clean	weak_form,word_linking	planned	license_pending	unknown
m20-002	dev	news	fast	b	clean	flap	planned	license_pending	unknown
m20-003	dev	news	normal	c	noisy	td_deletion	planned	license_pending	unknown
m20-004	dev	news	fast	d	clean	contraction	planned	license_pending	unknown
m20-005	dev	news	normal	e	noisy	assimilation	planned	license_pending	unknown
m20-006	dev	news	fast	f	clean	weak_form	planned	license_pending	unknown
m20-007	dev	news	normal	g	clean	word_linking	planned	license_pending	unknown
m20-008	dev	news	fast	h	noisy	flap,td_deletion	planned	license_pending	unknown
m20-009	dev	news	normal	i	clean	contraction	planned	license_pending	unknown
m20-010	dev	news	fast	j	noisy	assimilation,weak_form	planned	license_pending	unknown
m20-011	dev	interview	normal	a	clean	weak_form	planned	license_pending	unknown
m20-012	dev	interview	fast	b	noisy	flap	planned	license_pending	unknown
m20-013	dev	interview	normal	c	clean	td_deletion	planned	license_pending	unknown
m20-014	dev	interview	fast	d	clean	contraction,word_linking	planned	license_pending	unknown
m20-015	dev	interview	normal	e	noisy	assimilation	planned	license_pending	unknown
m20-016	dev	interview	fast	f	clean	weak_form,flap	planned	license_pending	unknown
m20-017	dev	interview	normal	g	noisy	word_linking	planned	license_pending	unknown
m20-018	dev	interview	fast	h	clean	td_deletion	planned	license_pending	unknown
m20-019	dev	interview	normal	i	clean	contraction	planned	license_pending	unknown
m20-020	dev	interview	fast	j	noisy	assimilation	planned	license_pending	unknown
m20-021	dev	conversation	normal	a	clean	weak_form,word_linking	planned	buckeye_research_only	prohibited
m20-022	dev	conversation	fast	b	clean	flap	planned	buckeye_research_only	prohibited
m20-023	dev	conversation	normal	c	noisy	td_deletion	planned	buckeye_research_only	prohibited
m20-024	dev	conversation	fast	d	clean	contraction	planned	buckeye_research_only	prohibited
m20-025	dev	conversation	normal	e	noisy	assimilation	planned	buckeye_research_only	prohibited
m20-026	dev	conversation	fast	f	clean	weak_form	planned	buckeye_research_only	prohibited
m20-027	dev	conversation	normal	g	clean	word_linking	planned	buckeye_research_only	prohibited
m20-028	dev	conversation	fast	h	noisy	flap,td_deletion	planned	buckeye_research_only	prohibited
m20-029	dev	conversation	normal	i	clean	contraction	planned	buckeye_research_only	prohibited
m20-030	dev	conversation	fast	j	noisy	assimilation,weak_form	planned	buckeye_research_only	prohibited
m20-031	test	news	normal	k	clean	weak_form	planned	license_pending	unknown
m20-032	test	news	fast	l	noisy	flap,word_linking	planned	license_pending	unknown
m20-033	test	news	normal	m	clean	td_deletion	planned	license_pending	unknown
m20-034	test	news	fast	n	clean	contraction	planned	license_pending	unknown
m20-035	test	news	normal	o	noisy	assimilation	planned	license_pending	unknown
m20-036	test	news	fast	p	clean	weak_form	planned	license_pending	unknown
m20-037	test	news	normal	q	clean	word_linking	planned	license_pending	unknown
m20-038	test	news	fast	r	noisy	flap	planned	license_pending	unknown
m20-039	test	news	normal	s	clean	td_deletion,contraction	planned	license_pending	unknown
m20-040	test	news	fast	t	noisy	assimilation	planned	license_pending	unknown
m20-041	test	interview	normal	k	clean	weak_form,word_linking	planned	license_pending	unknown
m20-042	test	interview	fast	l	noisy	flap	planned	license_pending	unknown
m20-043	test	interview	normal	m	clean	td_deletion	planned	license_pending	unknown
m20-044	test	interview	fast	n	clean	contraction	planned	license_pending	unknown
m20-045	test	interview	normal	o	noisy	assimilation,weak_form	planned	license_pending	unknown
m20-046	test	interview	fast	p	clean	word_linking	planned	license_pending	unknown
m20-047	test	interview	normal	q	clean	flap	planned	license_pending	unknown
m20-048	test	interview	fast	r	noisy	td_deletion	planned	license_pending	unknown
m20-049	test	interview	normal	s	clean	contraction	planned	license_pending	unknown
m20-050	test	interview	fast	t	noisy	assimilation	planned	license_pending	unknown
m20-051	test	conversation	normal	k	clean	weak_form	planned	buckeye_research_only	prohibited
m20-052	test	conversation	fast	l	noisy	flap,word_linking	planned	buckeye_research_only	prohibited
m20-053	test	conversation	normal	m	clean	td_deletion	planned	buckeye_research_only	prohibited
m20-054	test	conversation	fast	n	clean	contraction	planned	buckeye_research_only	prohibited
m20-055	test	conversation	normal	o	noisy	assimilation	planned	buckeye_research_only	prohibited
m20-056	test	conversation	fast	p	clean	weak_form	planned	buckeye_research_only	prohibited
m20-057	test	conversation	normal	q	clean	word_linking	planned	buckeye_research_only	prohibited
m20-058	test	conversation	fast	r	noisy	flap,td_deletion	planned	buckeye_research_only	prohibited
m20-059	test	conversation	normal	s	clean	contraction	planned	buckeye_research_only	prohibited
m20-060	test	conversation	fast	t	noisy	assimilation,weak_form	planned	buckeye_research_only	prohibited
